LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE
0000822454-0001-9,22ND STREET LANDING LTD,22ND ST LANDING BAR GRILL | 22ND ST LANDING SEAFOOD GRILL & BAR,141 W 22ND STREET #A,SAN PEDRO,90731-7248,141 22ND 90731-7248,,,,722110,Full-service restaurants,15,6/5/1990
0000072657-0001-7,NOAH A FARRELL/NINA SANTANGELO,ABBOT HABIT INC | ABBOT'S HABIT,1401 ABBOT KINNEY BLVD,VENICE,90291-3740,1401 ABBOT KINNEY 90291-3740,,,,722110,Full-service restaurants,11,6/23/1993
0002415447-0001-1,ELADIO QUINTERO,OJO DE AGUA RESTAURANT,14526 POLK STREET,SYLMAR,91342-4003,14526 POLK 91342-4003,,,,722110,Full-service restaurants,7,9/9/2008
0000262721-0001-1,"GDI ENTERPRISES, INC",GUS'S DRIVE IN,1657 W 3RD STREET,LOS ANGELES,90017-1116,1657 3RD 90017-1116,,,,722110,Full-service restaurants,13,10/1/1973
0000888452-0001-1,JACK IN THE BOX INC,JACK IN THE BOX #339,4828 LAUREL CANYON BLVD,N HOLLYWOOD,91607-3717,4828 LAUREL CANYON 91607-3717,9330 BALBOA AVENUE,SAN DIEGO,92123-1516,722110,Full-service restaurants,2,11/1/1970
0000188553-0001-6,MANGIONE INC,MCDONALDS RESTAURANT #4989,3454 WILSHIRE BLVD #4989,LOS ANGELES,90010-2204,3454 WILSHIRE 90010-2204,3777 LONG BEACH BLVD SUITE #200,LONG BEACH,90807-3337,722110,Full-service restaurants,10,6/9/1979
0000541202-0001-4,MINOHANA USA INC,HANA ICHIMONME,333 S ALAMEDA STREET #303,LOS ANGELES,90013-1735,333 ALAMEDA 90013-1735,,,,722110,Full-service restaurants,14,9/23/1986
0000948881-0001-1,GURU KIRPA INC,TASTE OF INDIA #2,21833 VENTURA BLVD,WOODLAND HILLS,91364-1838,21833 VENTURA 91364-1838,,,,722110,Full-service restaurants,3,1/12/1999
0002385704-0001-7,NIHAL SINGH,GOLDEN INDIAN GRILL,5954 W PICO BLVD,LOS ANGELES,90035-2658,5954 PICO 90035-2658,,,,722110,Full-service restaurants,10,10/6/2008
0000522607-0001-4,4 FRATELLI INC,PANZANELLA RISTORANTE,14928 VENTURA BLVD,SHERMAN OAKS,91403-3455,14928 VENTURA 91403-3455,,,,722110,Full-service restaurants,4,1/1/2004
0002396591-0001-3,YARON ABRAHAM,FRATELLI CAFE,7200 MELROSE AVENUE,LOS ANGELES,90046-7656,7200 MELROSE 90046-7656,,,,722110,Full-service restaurants,5,12/26/2008
0000512051-0001-0,ROBERT S TUSQUELLAS,TUSQUELLAS FISH & OYSTER BAR,6333 W 3RD STREET #436,LOS ANGELES,90036-3109,6333 3RD 90036-3109,,,,722110,Full-service restaurants,4,1/27/1986
0002631846-0001-4,CERTIFIED MART INC,JOE'S LA MARKET AND DELI,600 W PICO BLVD,LOS ANGELES,90015-2427,600 PICO 90015-2427,,,,722110,Full-service restaurants,14,8/19/2012
0002663987-0001-5,BSKCOM INC,CALIFORNIA SUSHI & TERIYAKI,2518 S FIGUEROA STREET,LOS ANGELES,90007-2549,2518 FIGUEROA 90007-2549,,,,722110,Full-service restaurants,9,3/1/2013
0000307332-0001-1,URVICIO MELENDEZ,BURGER PALACE 2,2075 W JEFFERSON BLVD,LOS ANGELES,90018-3419,2075 JEFFERSON 90018-3419,,,,722110,Full-service restaurants,8,11/21/1985
0000732444-0001-6,MI CARBONERO RESTAURANT INC,MI CARBONERO #1,11644 VICTORY BLVD,N HOLLYWOOD,91606-3514,11644 VICTORY 91606-3514,,,,722110,Full-service restaurants,2,10/25/2002
0000023849-0001-4,TODOS MARKET,,1801 E FLORENCE AVENUE,LOS ANGELES,90001-2220,1801 FLORENCE 90001-2220,,,,722110,Full-service restaurants,0,3/24/2003
0002635076-0001-9,FRITZI DOG INVESTMENT COMPANY LLC,FRITZI DOG,6333 W 3RD STREET UNIT #742,LOS ANGELES,90036-3176,6333 3RD 90036-3176,6030 WILSHIRE BLVD SUITE #301,LOS ANGELES,90036-4487,722110,Full-service restaurants,4,9/20/2012
0002064625-0001-4,LUCILA H NAGUIAT,THREE BROTHER'S RESTAURANT,23722 WESTERN AVENUE,HARBOR CITY,90710-1321,23722 WESTERN 90710-1321,,,,722110,Full-service restaurants,15,9/1/2005
0000900155-0001-7,SANG HUN LEE,KANG NAM RESTAURANT,4103 W OLYMPIC BLVD,LOS ANGELES,90019-1942,4103 OLYMPIC 90019-1942,,,,722110,Full-service restaurants,10,2/1/1984
0000239637-0003-2,EL POLLO LOCO INC,EL POLLO LOCO #5322,1224 S SOTO STREET,LOS ANGELES,90023-2616,1224 SOTO 90023-2616,3535 HARBOR BLVD SUITE #100,COSTA MESA,92626-1494,722110,Full-service restaurants,14,6/1/1985
0000536910-0001-6,HERTHA TAN,RAMAYANI INC,1777 WESTWOOD BLVD,LOS ANGELES,90024-5607,1777 WESTWOOD 90024-5607,,,,722110,Full-service restaurants,5,11/15/1986
0000893379-0001-2,MARLENE SINCLAIR-BECKFORD / DELROY BECKFORD,ACKEE BAMBOO JAMAICAN CUISINE,4305 DEGNAN BLVD #100,LOS ANGELES,90008-4949,4305 DEGNAN 90008-4949,3817 ARLINGTON AVENUE,LOS ANGELES,90008-1914,722110,Full-service restaurants,10,9/16/2004
0002253566-0001-2,"THE STAND INVESTORS I, LLC",THE STAND,2000 AVENUE OF THE STARS #15,LOS ANGELES,90067-4703,2000 AVENUE OF THE STARS 90067-4703,17000 VENTURA BLVD #204,ENCINO,91316-4167,722110,Full-service restaurants,5,3/17/2007
0000491693-0001-1,BOSTON MARKET CORP,BOSTON MARKET #631,14400 SHERMAN WAY,VAN NUYS,91405-2340,14400 SHERMAN 91405-2340,14103 DENVER WEST PARKWAYS,LAKEWOOD,80401-3114,722110,Full-service restaurants,2,1/1/2001
0002608732-0001-6,HAMOV LLC,CAROUSEL RESTAURANT,5112 HOLLYWOOD BLVD #107,LOS ANGELES,90027-6124,5112 HOLLYWOOD 90027-6124,,,,722110,Full-service restaurants,13,4/2/2012
0002648972-0001-2,OSAMU SUGIMOTO/TAKAYOSHI SAYAMA,@ HOME KITCHEN,16814 S VERMONT AVENUE,GARDENA,90247-5619,16814 VERMONT 90247-5619,,,,722110,Full-service restaurants,15,12/5/2012
0000161054-0001-6,FU FAMILY CORPORATION,FUS PALACE,8751 W PICO BLVD,LOS ANGELES,90035-2212,8751 PICO 90035-2212,,,,722110,Full-service restaurants,5,2/15/1995
0000407820-0001-4,EC & EC RESTAURANT INC,CRAZY TOKYO SUSHI,18406 VENTURA BLVD,TARZANA,91356-4202,18406 VENTURA 91356-4202,,,,722110,Full-service restaurants,3,12/5/1996
0000468418-0001-0,GIO CUCINA NAPOLETANA INC,,15826 VENTURA BLVD UNIT #M,ENCINO,91436-2919,15826 VENTURA 91436-2919,,,,722110,Full-service restaurants,5,9/1/1997
0000702083-0001-4,"N & RC, INC.",ROUND TABLE PIZZA TARZANA,18365 VENTURA BLVD,TARZANA,91356-4218,18365 VENTURA 91356-4218,,,,722110,Full-service restaurants,3,3/31/1989
0002483061-0001-9,AMILUC FAMILY INC,DENNY'S RESTAURANT #8180,22027 BURBANK BLVD,WOODLAND HILLS,91367-4707,22027 BURBANK 91367-4707,,,,722110,Full-service restaurants,3,10/1/2009
0002350150-0001-2,BATTEN DOWN INC,GARAGE PIZZA,4339 1/2 W SUNSET BLVD,LOS ANGELES,90029-2111,4339 SUNSET 90029-2111,1400 TALMADGE STREET #102,LOS ANGELES,90027-1571,722110,Full-service restaurants,13,6/11/2008
0000734580-0001-5,STEVEN WEISS/DON J WAGSTAFF,MELS DRIVE IN #6,14846 VENTURA BLVD,SHERMAN OAKS,91403-3453,14846 VENTURA 91403-3453,POST OFFICE BOX #82219,LAS VEGAS,89180-2219,722110,Full-service restaurants,4,10/30/1989
0000555002-0001-3,CHALERMIKIAT RAKSANUH,THAI SPIRIT,2617 COLORADO BLVD,LOS ANGELES,90041-1006,2617 COLORADO 90041-1006,,,,722110,Full-service restaurants,14,7/15/2004
0002395741-0001-4,CHARLIE KABOB INC,CHARLIE KABOB #3,10800 W PICO BLVD SUITE #302,LOS ANGELES,90064-2187,10800 PICO 90064-2187,,,,722110,Full-service restaurants,5,3/15/2008
0000253723-0001-1,"BTOO, INC","B TOO, INC",13433 VAN NUYS BLVD,PACOIMA,91331-3059,13433 VAN NUYS 91331-3059,2701 FIRESTONE BLVD UNIT #C,SOUTH GATE,90280-2778,722110,Full-service restaurants,7,6/21/1985
0002350690-0003-4,OTISFIELD LLC,,735 S FIGUEROA STREET UNIT #122,LOS ANGELES,90017-2561,735 FIGUEROA 90017-2561,,,,722110,Full-service restaurants,14,1/6/2013
0000391281-0001-0,SBD FOODS INC,SUBWAY 26442,11878 BALBOA BLVD,GRANADA HILLS,91344-2753,11878 BALBOA 91344-2753,,,,722110,Full-service restaurants,12,12/24/2003
0002701188-0002-5,"CISNEROS RESTAURANTS, INC",MISSION BURRITO # 1 CP,21425 VANOWEN STREET,CANOGA PARK,91303-2709,21425 VANOWEN 91303-2709,POST OFFICE BOX #20280,BAKERSFIELD,93390-0280,722110,Full-service restaurants,3,11/5/2013
0002185277-0003-1,YONG SOOK LEE,UNO ROLL & TERIYAKI,3322 VERDUGO ROAD,LOS ANGELES,90065-2845,3322 VERDUGO 90065-2845,,,,722110,Full-service restaurants,1,9/24/2013
0002033506-0001-7,HONEYBEE FOODS CORPORATION,,2700 COLORADO BLVD UNIT #104,LOS ANGELES,90041-1088,2700 COLORADO 90041-1088,,,,722110,Full-service restaurants,14,2/4/2005
0002167521-0002-3,MOZZA LLC,PIZZERIA MOZZA,641 N HIGHLAND AVENUE,LOS ANGELES,90036-2017,641 HIGHLAND 90036-2017,45 E 20TH STREET FLOOR #3RD,NEW YORK,10003-1308,722110,Full-service restaurants,5,11/14/2006
0002440051-0001-8,SOUTHERN CALIF HEUNG RAE GAK INC,,357 S WESTERN AVENUE SUITE #102,LOS ANGELES,90020-3832,357 WESTERN 90020-3832,,,,722110,Full-service restaurants,10,4/1/2009
0000470520-0001-3,BOULES INC,CAFE DAHAB,1638 SAWTELLE BLVD,LOS ANGELES,90025-3149,1638 SAWTELLE 90025-3149,1640 SAWTELLE BLVD,LOS ANGELES,90025-3149,722110,Full-service restaurants,11,7/15/2001
0000477373-0002-8,HOUSE FOODS AMERICA CORPORATION,CURRY HOUSE,2130 SAWTELLE BLVD #200,LOS ANGELES,90025-6267,2130 SAWTELLE 90025-6267,7351 ORANGEWOOD AVENUE,GARDEN GROVE,92841-1411,722110,Full-service restaurants,11,7/24/2002
0000450306-0001-4,RUBIOS RESTAURANTS INC,RUBIO'S FRESH MEXICAN GRILL,6081 CENTER DRIVE #216,LOS ANGELES,90045-8833,6081 CENTER 90045-8833,1902 WRIGHT PLACE #300,CARLSBAD,92008-6583,722110,Full-service restaurants,11,2/20/2001
0000369664-0001-8,RUBEN/SOCORRO VELEZ,SOCORRO'S RESTAURANT II,14853 SHERMAN WAY,VAN NUYS,91405-2254,14853 SHERMAN 91405-2254,,,,722110,Full-service restaurants,6,8/12/1996
0000042291-0001-2,KINKAI CORP,SUSHI DAN,11056 VENTURA BLVD,STUDIO CITY,91604-3546,11056 VENTURA 91604-3546,,,,722110,Full-service restaurants,2,11/1/2003
0002262430-0001-5,SHIL ILL INTERNATIONAL INC,CHY SUNG ROO,3522 1/2 W 8TH STREET,LOS ANGELES,90005-2994,3522 8TH 90005-2994,6732 ANTHONY AVENUE,GARDEN GROVE,92845-3006,722110,Full-service restaurants,10,7/25/2007
0002694895-0001-8,THANAKAN TOWIRATKIT,VEGGIE HOUSE,3217 CAHUENGA BLVD W,LOS ANGELES,90068-1301,3217 CAHUENGA 90068-1301,,,,722110,Full-service restaurants,4,8/1/2013
0000624141-0001-1,ADIR RESTAURANTS CORP,POLLO CAMPERO,1605 W OLYMPIC BLVD #120,LOS ANGELES,90015-3808,1605 OLYMPIC 90015-3808,1625 W OLYMPIC BLVD #1020,LOS ANGELES,90015-3853,722110,Full-service restaurants,1,3/15/2002
0002432101-0001-6,SUSHI NOZAWA LLC,SUGARFISH BY SUSHI NOZAWA,11640 SAN VICENTE BLVD #105,LOS ANGELES,90049-6520,11640 SAN VICENTE 90049-6520,11628 SANTA MONICA BLVD #200,LOS ANGELES,90025-2951,722110,Full-service restaurants,11,6/1/2009
0000317093-0001-9,SUZANNE TOJI,FEAST FROM THE EAST,1949 WESTWOOD BLVD,LOS ANGELES,90025-4613,1949 WESTWOOD 90025-4613,,,,722110,Full-service restaurants,5,7/3/1980
0002525759-0001-1,ANDREA MORALES,GORDITA VELOS,9220 S WESTERN AVENUE,LOS ANGELES,90047-3871,9220 WESTERN 90047-3871,,,,722110,Full-service restaurants,8,10/18/2010
0000324404-0001-8,TAICE CREAM CO,SCOOPS,712 N HELIOTROPE DRIVE,LOS ANGELES,90029-2524,712 HELIOTROPE 90029-2524,,,,722110,Full-service restaurants,13,8/10/2004
0000127815-0003-6,JOHN DAMIELIAN,KAVKAZ CAFE & RESTAURANT,5341 SANTA MONICA BLVD,LOS ANGELES,90029-1105,5341 SANTA MONICA 90029-1105,,,,722110,Full-service restaurants,13,6/7/2011
0000071617-0001-5,SALVADOR SANCHEZ,LUCY'S DRIVE INN,1300 W WASHINGTON BLVD,LOS ANGELES,90007-1231,1300 WASHINGTON 90007-1231,,,,722110,Full-service restaurants,1,7/1/1993
0002657719-0001-5,CHAIYAPHRUK CHOTIKASUPASERANEE,HOUSE OF THAI TASTE,12824 VENICE BLVD,LOS ANGELES,90066-3508,12824 VENICE 90066-3508,,,,722110,Full-service restaurants,11,1/11/2013
0000524525-0001-9,CATALINA SEAFOOD INC,CATALINA BAR & GRILL,6725 W SUNSET BLVD #100,LOS ANGELES,90028-7163,6725 SUNSET 90028-7163,,,,722110,Full-service restaurants,13,6/16/1986
0002735126-0001-4,VRG3 LLC,COMMUNITY TAVERN,14649 VENTURA BLVD,SHERMAN OAKS,91403-3617,14649 VENTURA 91403-3617,,,,722110,Full-service restaurants,4,3/4/2014
0002421886-0001-1,CHU POONG YOUNG INC,ROAD TO SEOUL,1230 S WESTERN AVENUE,LOS ANGELES,90006-3108,1230 WESTERN 90006-3108,,,,722110,Full-service restaurants,10,7/28/2008
0002436801-0001-2,SILA VILAI CORPORATION,SI LAA THAI DINNING,1128 S ROBERTSON BLVD,LOS ANGELES,90035-1404,1128 ROBERTSON 90035-1404,,,,722110,Full-service restaurants,5,6/1/2009
0000869525-0001-7,NOBUO ANZAI,SAWTELLE TEMPURA HOUSE,1816 SAWTELLE BLVD,LOS ANGELES,90025-5516,1816 SAWTELLE 90025-5516,,,,722110,Full-service restaurants,11,12/1/1991
0000014460-0001-9,KEE HOON MIN,TAM'S JR BURGER #2,5801 N FIGUEROA STREET,LOS ANGELES,90042-4227,5801 FIGUEROA 90042,,,,722110,Full-service restaurants,1,6/10/1992
0002327510-0002-1,WEST VALLEY ENTERPISES INC,DOMINO'S PIZZA #7787,6846 RESEDA BLVD UNIT #A,RESEDA,91335-8510,6846 RESEDA 91335-8510,7200 A WINDSOR DRIVE,ALLENTOWN,18106-9318,722110,Full-service restaurants,3,7/7/2007
0002750559-0001-8,H C JUNG CORP,TOMO SUSHI & ROBATA GRILL,18707 DEVONSHIRE STREET,NORTHRIDGE,91324-1312,18707 DEVONSHIRE 91324-1312,,,,722110,Full-service restaurants,12,5/8/2014
0002703217-0001-0,"CASIANO LANCASTER INVESTMENTS, LLC",IL PICCOLO VERDE,140 S BARRINGTON PLACE,LOS ANGELES,90049-3306,140 BARRINGTON 90049-3306,1305 CASIANO ROAD,LOS ANGELES,90049-1615,722110,Full-service restaurants,11,9/9/2013
0000129284-0001-6,JAVIER MARTINEZ,EL TACO LOCO,5954 LANKERSHIM BLVD,N HOLLYWOOD,91601-1007,5954 LANKERSHIM 91601-1007,,,,722110,Full-service restaurants,2,10/20/2000
0002719637-0002-8,FAMOUS FINANCIAL SERVICES INC,CHEF INGOS RIB PLACE,14241 VENTURA BLVD SUITE #202,SHERMAN OAKS,91423-2742,14241 VENTURA 91423-2742,,,,722110,Full-service restaurants,4,1/1/2014
0000136891-0001-0,FMJJ INC,EL POLLO LOCO,8154 W SUNSET BLVD,WEST HOLLYWOOD,90046-2426,8154 SUNSET 90046-2426,18746 MAPLEWOOD LANE,NORTHRIDGE,91326-3927,722110,Full-service restaurants,4,7/1/1994
0000450056-0001-8,SAM A PAPAVASILOU,TROY DRIVE IN #8,4738 YORK BLVD,LOS ANGELES,90042-1635,4738 YORK 90042,,,,722110,Full-service restaurants,1,3/28/1983
0002697434-0001-1,LORANGERIE BISTRO INC,,426 S ROBERTSON BLVD,LOS ANGELES,90048-3908,426 ROBERTSON 90048-3908,,,,722110,Full-service restaurants,5,10/1/2013
0000125311-0002-4,BURGER ON BEACH LLC,,108 WASHINGTON BLVD,MARINA DEL REY,90292-5126,108 WASHINGTON 90292-5126,,,,722110,Full-service restaurants,11,5/1/2014
0002495181-0002-3,IGNACIO L RUPERTO,ADOBO GRILL,4716 FOUNTAIN AVENUE,LOS ANGELES,90029-1713,4716 FOUNTAIN 90029-1713,,,,722110,Full-service restaurants,13,3/4/2011
0002319878-0001-3,BHFC OPERATING LLC,BOTTEGA LOUIE RESTAURANT AND GOURMET MARKET,700 S GRAND AVENUE,LOS ANGELES,90017-3813,700 GRAND 90017-3813,2029 CENTURY PARKS  E SUITE #3500,LOS ANGELES,90067-3021,722110,Full-service restaurants,14,2/21/2008
0002528102-0001-3,UCKARADET SEETAPAWANG,TALAY THAI RESTAURANT,11314 SANTA MONICA BLVD,LOS ANGELES,90025-3119,11314 SANTA MONICA 90025-3119,,,,722110,Full-service restaurants,11,11/1/2010
0002585710-0001-3,ROSA E GARCIA,EL APETITO RESTAURANT,2125 E CESAR E CHAVEZ AVENUE,LOS ANGELES,90033-1822,2125 CESAR E CHAVEZ 90033-1822,,,,722110,Full-service restaurants,14,10/28/2011
0002354344-0001-2,ANUSHIK EBEYAN,SEPAN CHICKEN,3324 GLENDALE BLVD,LOS ANGELES,90039-1813,3324 GLENDALE 90039-1813,,,,722110,Full-service restaurants,13,6/27/2008
0002350690-0001-8,OTISFIELD LLC,,505 S FLOWER STREET UNIT #B250,LOS ANGELES,90071-2113,505 FLOWER 90071-2113,350 W 43RD STREET APARTMENT #6E,NEW YORK,10036-6457,722110,Full-service restaurants,14,2/11/2008
0002119360-0001-1,BARNEYS HAMBURGERS,,225 26TH STREET #18,SANTA MONICA,90402-2541,225 26TH 90402-2541,,,,722110,Full-service restaurants,0,1/1/2003
0000529600-0001-3,INGISTOV INC,VINNYS PIZZA,8412 LINCOLN BLVD,LOS ANGELES,90045-2416,8412 LINCOLN 90045-2416,,,,722110,Full-service restaurants,11,6/6/2001
0000295945-0002-2,CALABASAS SAGE LLC,,23527 CALABASAS ROAD,CALABASAS,91302-1311,23527 CALABASAS 91302-1311,,,,722110,Full-service restaurants,0,11/1/2009
0002768560-0001-5,ADOLFO MAGDARENO,ABEL'S TAQUERIA,22502 S WESTERN AVENUE,TORRANCE,90501-4947,22502 WESTERN 90501-4947,,,,722110,Full-service restaurants,15,8/1/2014
0002436870-0001-3,MINSOK MADANG CORP,SAEK DONG JUH GORI,4083 W 3RD STREET,LOS ANGELES,90020-3130,4083 3RD 90020-3130,3540 WILSHIRE BLVD #814,LOS ANGELES,90010-2352,722110,Full-service restaurants,10,5/1/2009
0000649093-0022-1,MCDONALDS RESTAURANTS OF CA INC,MCDONALDS #2817,101 W MANCHESTER AVENUE,LOS ANGELES,90003-3323,101 MANCHESTER 90003-3323,POST OFFICE BOX #183090,COLUMBUS,43218-3090,722110,Full-service restaurants,9,4/1/1995
0002578910-0001-5,JUM TONG SUL RUMG TANG INC,,869 S WESTERN AVENUE #5,LOS ANGELES,90005-3384,869 WESTERN 90005-3384,,,,722110,Full-service restaurants,10,10/1/2011
0002686596-0001-6,SETTEBELLO MDR LLC,SETTEBELLO / SETTEBELLO PIZZERIA NAPOLETANA,13455 MAXELLA AVENUE SUITE #250,MARINA DEL REY,90292-8811,13455 MAXELLA 90292-8811,,,,722110,Full-service restaurants,11,6/4/2013
0000487946-0001-8,PACO'S CONTINA INC,PACOS TACOS CANTINA,6212 W MANCHESTER AVENUE,LOS ANGELES,90045-3801,6212 MANCHESTER 90045-3801,,,,722110,Full-service restaurants,11,5/16/1998
0000649093-0020-5,MCDONALDS RESTAURANTS OF CA INC,MCDONALDS #2319,19315 PARTHENIA STREET,NORTHRIDGE,91324-3514,19315 PARTHENIA 91324-3514,POST OFFICE BOX #183090,COLUMBUS,43218-3090,722110,Full-service restaurants,12,10/9/1992
0002617025-0001-8,BASIC FOOD INC,STONE OVEN,10800 W PICO BLVD SPACE #318,LOS ANGELES,90064-2187,10800 PICO 90064-2187,,,,722110,Full-service restaurants,5,5/22/2012
0000473504-0001-6,"ABCD VALLEY, INC.",BCD TOFU HOUSE,18044 SATICOY STREET,RESEDA,91335-3253,18044 SATICOY 91335-3253,,,,722110,Full-service restaurants,12,4/1/2001
0002661726-0001-8,CAV RESTAURANT INC,WING STOP,12241 SANTA MONICA BLVD,LOS ANGELES,90025-2517,12241 SANTA MONICA 90025-2517,25825 PARADA DRIVE,VALENCIA,91355-2417,722110,Full-service restaurants,11,2/15/2013
0000202028-0001-8,MICHEL/IRENE CASARUBBIA,LAFFAIR RESTAURANT,11024 SEPULVEDA BLVD,MISSION HILLS,91345-1414,11024 SEPULVEDA 91345-1414,,,,722110,Full-service restaurants,7,6/1/1976
0000445521-0001-5,STARBUCKS CORPORATION,STARBUCKS COFFEE #5785,6081 CENTER DRIVE #108,LOS ANGELES,90045-8830,6081 CENTER 90045-8830,POST OFFICE BOX #34442,SEATTLE,98124-1442,722110,Full-service restaurants,11,2/7/2001
0002725419-0001-2,J & J CUISINE INC,LITTLE CHINA EXPRESS,5150 HUNTINGTON DRIVE S #102,LOS ANGELES,90032-4708,5150 HUNTINGTON 90032-4708,,,,722110,Full-service restaurants,14,1/27/2014
0000131245-0001-4,VINCENT JOSEPH KOTTIRIKKAL/ANTO THOPPIL LOHAPPAN,PAPA MAC'S LIQUOR,8219 CANOGA AVENUE,CANOGA PARK,91304-4106,8219 CANOGA 91304-4106,,,,722110,Full-service restaurants,3,9/1/2004
0000755948-0001-0,RINCOME INC,RINCOME RESTAURANT,17050 DEVONSHIRE STREET,NORTHRIDGE,91325-1617,17050 DEVONSHIRE 91325-1617,,,,722110,Full-service restaurants,12,12/1/1990
0002731992-0001-8,ARANG LLC,,3680 WILSHIRE BLVD SUITE #B02,LOS ANGELES,90010-2709,3680 WILSHIRE 90010-2709,3240 WILSHIRE BLVD SUITE #401,LOS ANGELES,90010-1502,722110,Full-service restaurants,10,2/21/2014
0002766835-0001-7,TAE YUB KIM,HANNA SUSHI,654 S MAIN STREET,LOS ANGELES,90014-2004,654 MAIN 90014-2004,,,,722110,Full-service restaurants,14,7/1/2014
0000967119-0001-0,ENRIQUES RAMOS/LAURA BARAJAS,EL BRONCO TAQUERIA,5427 VENICE BLVD,LOS ANGELES,90019-5163,5427 VENICE 90019-5163,14340 JEANETTE LANE,BALDWIN PARK,91706-5111,722110,Full-service restaurants,10,6/24/1999
0002711498-0001-1,NEW MOON CAFE LLC,NEW MOON CAFE,735 S FIGUEROA STREET SUITE #117,LOS ANGELES,90017-2561,735 FIGUEROA 90017-2561,,,,722110,Full-service restaurants,14,11/5/2013
0002643543-0001-7,CHEN YU CHANG,LUCKY CHINESE RESTAURANT #1,1210 LOMITA BLVD,HARBOR CITY,90710-2120,1210 LOMITA 90710-2120,,,,722110,Full-service restaurants,0,10/30/2012
0002447458-0001-3,GEROLD MOUZONE / EMMA MOUZONE,MOUZONE & MOUZONE QUE,15477 EL CAJON STREET,SYLMAR,91342-3620,15477 EL CAJON 91342-3620,15477 EL CAJON STREET,SYLMAR,91342-3620,722110,Full-service restaurants,7,7/1/2009
0002051451-0003-9,NEMATZADEH ENTERPRISES INC,JACK IN THE BOX #0335,2521 PASADENA AVENUE,LOS ANGELES,90031-2216,2521 PASADENA 90031-2216,4917 GENESTA AVENUE,ENCINO,91316-3438,722110,Full-service restaurants,1,6/9/2008
0002309241-0001-5,SANTA FLORITA INVESTMENTS INC,CAFE PANINI DOWNTOWN,600 W 9TH STREET #116,LOS ANGELES,90015-4300,600 9TH 90015-4300,17821 SKY PARK CIRCLE SUITE #H,IRVINE,92614-6104,722110,Full-service restaurants,14,4/1/2008
0002675892-0001-9,GALATI LLC,,2932 N BEVERLY GLEN CIRCLE,LOS ANGELES,90077-1724,2932 BEVERLY GLEN 90077-1724,9405 BRIGHTON WAY SUITE #20,BEVERLY HILLS,90210-4727,722110,Full-service restaurants,5,1/24/2013
0002327085-0001-0,SO POSH INC,VINO WINE ROOM,18046 VENTURA BLVD,ENCINO,91316-3516,18046 VENTURA 91316-3516,18034 VENTURA BLVD #S 311,ENCINO,91316-3516,722110,Full-service restaurants,5,9/1/2007
0002682457-0001-9,ANAIT KHACHATRYAN,ELITE HOUSE,13725 VICTORY BLVD,VAN NUYS,91401-2325,13725 VICTORY 91401-2325,,,,722110,Full-service restaurants,2,5/20/2013
0002501634-0001-1,EFREN RAMIREZ,EL RANCHERITO RESTAURANT & MARKET #3,6455 WOODMAN AVENUE,VAN NUYS,91401-1603,6455 WOODMAN 91401-1603,,,,722110,Full-service restaurants,2,5/10/2010
0000239637-0013-0,EL POLLO LOCO INC,EL POLLO LOCO #5415,2801 CRENSHAW BLVD,LOS ANGELES,90016-3603,2801 CRENSHAW 90016-3603,3535 HARBOR BLVD SUITE #100,COSTA MESA,92626-1494,722110,Full-service restaurants,10,5/21/1988
0000902319-0001-1,ROBERT B IRVINE,RBI ENTERPRISES ARTS DIVISION,16757 LUDLOW STREET,GRANADA HILLS,91344-5136,16757 LUDLOW 91344-5136,,,,722110,Full-service restaurants,12,3/15/2004
0000590524-0001-0,VADIM KAN,YUMMY YOO LOVE,5245 WHITSETT AVENUE #22,VALLEY VILLAGE,91607-5312,5245 WHITSETT 91607-5312,,,,722110,Full-service restaurants,2,10/17/2001
0000474509-0001-6,SE YUN PARK,BASKIN ROBBINS,5802 N FIGUEROA STREET,LOS ANGELES,90042-4228,5802 FIGUEROA 90042-4228,,,,722110,Full-service restaurants,1,5/30/2001
0000271995-0001-1,"O DAE SAN, INC.",O DAE SAN,2889 W OLYMPIC BLVD,LOS ANGELES,90006-2635,2889 OLYMPIC 90006-2635,,,,722110,Full-service restaurants,10,11/20/2003
0000715488-0002-6,DARA MAY CHONG / THAO VO,DC  LIBRARY CAFE,800 N VERMONT AVENUE,LOS ANGELES,90029-3517,800 VERMONT 90029-3517,,,,722110,Full-service restaurants,13,8/3/2011
0002378449-0001-5,TOSHI EDOMAE CORP,TOSHI SUSHI,359 E 1ST STREET,LOS ANGELES,90012-3901,359 1ST 90012-3901,,,,722110,Full-service restaurants,14,11/1/2008
0000578795-0001-1,VENTURA COLFAX LLC,FIREFLY,11720 VENTURA BLVD,STUDIO CITY,91604-2615,11720 VENTURA 91604-2615,,,,722110,Full-service restaurants,2,1/15/2002
0002478225-0001-9,APPLE SOCAL LLC,APPLEBEE'S NEIGHBORHOOD GRILL & BAR,9255 WINNETKA AVENUE,CHATSWORTH,91311-8166,9255 WINNETKA 91311-8166,POST OFFICE BOX #507,WEST LINN,97068-0507,722110,Full-service restaurants,12,2/15/2010
